product_slug,filename,source_url,page_url,license,license_url,author,source_width,source_height,output_width,output_height,notes
abacate-hass,fotos/catalogo/abacate-hass.webp,https://upload.wikimedia.org/wikipedia/commons/c/c9/Avocado_Hass_-_single_and_halved.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AAvocado_Hass_-_single_and_halved.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Iifar"" title=""User:Iifar"">Ivar Leidus</a>",8256,5504,1400,933,Wikimedia Commons; selection=curated
abacaxi-aviao-costa-rica,fotos/catalogo/abacaxi-aviao-costa-rica.webp,https://upload.wikimedia.org/wikipedia/commons/a/a1/Pineapple.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3APineapple.jpg,Public domain,,Renee Comet (Photographer),2700,1800,1400,1400,Wikimedia Commons; surgical photo fix 2026-09
abacaxi-maturado,fotos/catalogo/abacaxi-maturado.webp,https://upload.wikimedia.org/wikipedia/commons/9/98/Pineapple_on_white.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3APineapple_on_white.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Rhododendrites"" title=""User:Rhododendrites"">Rhododendrites</a>",1595,3200,1400,1400,Wikimedia Commons; selection=curated; square recrop 2026-09
abobora-butternut,fotos/catalogo/abobora-butternut.webp,fotos/abobora_butternut.jpeg,fotos/abobora_butternut.jpeg,Mundifruta own work / existing repository asset,,Mundifruta,500,333,500,333,Converted from existing shop or previously committed catalogue photo. Commercial use by Mundifruta.
abobora-cabocha,fotos/catalogo/abobora-cabocha.webp,https://upload.wikimedia.org/wikipedia/commons/d/de/Red_Kabocha_Squash.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ARed_Kabocha_Squash.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"<a href=""https://en.wikipedia.org/wiki/User:Theguy002"" class=""extiw"" title=""w:User:Theguy002"">Theguy002</a>",4000,3000,1400,1050,Wikimedia Commons; selection=curated
abobora-fatiada,fotos/catalogo/abobora-fatiada.webp,fotos/mundifruta-photos-web/abobora_fatiada_v2.jpg,fotos/mundifruta-photos-web/abobora_fatiada_v2.jpg,Mundifruta own work / existing repository asset,,Mundifruta,417,417,417,417,Converted from existing shop or previously committed catalogue photo. Commercial use by Mundifruta.
abobora-inteira,fotos/catalogo/abobora-inteira.webp,fotos/mundifruta-photos-web/abobora_inteira_v2.jpg,fotos/mundifruta-photos-web/abobora_inteira_v2.jpg,Mundifruta own work / existing repository asset,,Mundifruta,820,820,820,820,Converted from existing shop or previously committed catalogue photo. Commercial use by Mundifruta.
agriao,fotos/catalogo/agriao.webp,https://upload.wikimedia.org/wikipedia/commons/6/66/Nasturtium_officinale_154629037.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ANasturtium_officinale_154629037.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/2438113"">Patrick Hacker</a>",2048,1906,1400,1400,Wikimedia Commons; visual QA pass 2
alface,fotos/catalogo/alface.webp,https://upload.wikimedia.org/wikipedia/commons/5/59/Lettuce_Mini_Heads_%22Australe%22_%287331118944%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ALettuce_Mini_Heads_%22Australe%22_%287331118944%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/62528187@N00"">Dwight Sipler</a> from Stow, MA, USA",2927,2034,1400,972,Wikimedia Commons; selection=search
alface-roxa,fotos/catalogo/alface-roxa.webp,https://upload.wikimedia.org/wikipedia/commons/b/b6/Red_leaf_lettuce_J1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ARed_leaf_lettuce_J1.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"<a href=""//commons.wikimedia.org/wiki/User:Jamain"" title=""User:Jamain"">Jamain</a>",3940,2900,1400,1030,Wikimedia Commons; selection=curated
alho-frances,fotos/catalogo/alho-frances.webp,https://upload.wikimedia.org/wikipedia/commons/6/63/Leek_on_white_background_-_0947.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ALeek_on_white_background_-_0947.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Amada44"" title=""User:Amada44"">Amada44</a>",2361,3464,1400,1400,Wikimedia Commons; selection=curated; square recrop 2026-09
alho-seco,fotos/catalogo/alho-seco.webp,https://upload.wikimedia.org/wikipedia/commons/4/49/Opened_garlic_bulb_with_garlic_clove.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AOpened_garlic_bulb_with_garlic_clove.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Dubravko Sorić <a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/11939863@N08/"">SoraZG on Flickr</a>",3648,2736,1400,1050,Wikimedia Commons; selection=search
alperce,fotos/catalogo/alperce.webp,https://upload.wikimedia.org/wikipedia/commons/7/76/Apricot_whole444.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AApricot_whole444.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,"<a href=""//commons.wikimedia.org/wiki/User:Benjamint444"" title=""User:Benjamint444"">Benjamint444</a>",1600,1200,1400,1050,Wikimedia Commons; selection=curated
ameixa,fotos/catalogo/ameixa.webp,https://upload.wikimedia.org/wikipedia/commons/6/6e/LaetitiaPortugal.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ALaetitiaPortugal.JPG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Notafly"" title=""User:Notafly"">Notafly</a>",2458,1750,1400,996,Wikimedia Commons; selection=search
ameixa-abrunho-nacional,fotos/catalogo/ameixa-abrunho-nacional.webp,https://upload.wikimedia.org/wikipedia/commons/7/79/Damson_%28Prunus_domestica_subsp._insititia%29_%2819884486631%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3ADamson_%28Prunus_domestica_subsp._insititia%29_%2819884486631%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"<a href=""//commons.wikimedia.org/wiki/User:AnemoneProjectors"" title=""User:AnemoneProjectors"">AnemoneProjectors</a> (<a href=""//commons.wikimedia.org/wiki/User_talk:AnemoneProjectors"" title=""User talk:AnemoneProjectors""><span class=""signature-talk"">talk</span></a>)",3791,2850,1400,1052,Wikimedia Commons; selection=search
ameixa-branca,fotos/catalogo/ameixa-branca.webp,https://upload.wikimedia.org/wikipedia/commons/4/47/Golden_%28yellow%29_Plums.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://commons.wikimedia.org/wiki/File%3AGolden_%28yellow%29_Plums.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"<a href=""//commons.wikimedia.org/wiki/User:Vvyagov"" title=""User:Vvyagov"">Vasil Vyagov</a>",5568,3712,1400,933,Wikimedia Commons; selection=curated
ameixa-roxa-nacional,fotos/catalogo/ameixa-roxa-nacional.webp,fotos/mundifruta-photos-web/20260706_195901.jpg,fotos/mundifruta-photos-web/20260706_195901.jpg,Mundifruta own work,,Mundifruta,1050,1400,1050,1400,Converted from Mundifruta shop photograph already in the repository
